t,valence,arousal,dva/t,dva/t,avg va,avg ar,davgval,davgar,abs(D),abs(E),mean(J),mean(K)
129,0.07213217,-0.46976575,-0.08278272,0.01944703,0.127058695,-0.423039152,-0.022532904,0.02064324,0.08278272,0.01944703,,
130,0.28583804,-0.10186607,0.21370587,0.36789968,0.140901267,-0.38610328,0.013842572,0.036935872,0.21370587,0.36789968,,
131,0.11664249,-0.44971412,-0.16919555,-0.34784805,0.167682666,-0.403305244,0.026781399,-0.017201964,0.16919555,0.34784805,,
132,0.07178404,-0.41958743,-0.04485845,0.03012669,0.140262326,-0.38602923,-0.02742034,0.017276014,0.04485845,0.03012669,,
133,-0.1677508,-0.062402017,-0.23953484,0.357185413,0.075729188,-0.300667077,-0.064533138,0.085362153,0.23953484,0.357185413,,
134,0.010645288,-0.46555397,0.178396088,-0.403151953,0.063431812,-0.299824721,-0.012297376,0.000842356,0.178396088,0.403151953,,
135,-0.07118289,-0.4873712,-0.081828178,-0.02181723,-0.007972374,-0.376925747,-0.071404186,-0.077101026,0.081828178,0.02181723,,
136,-0.0662153,-0.38497046,0.00496759,0.10240074,-0.044543932,-0.363977015,-0.036571558,0.012948732,0.00496759,0.10240074,,
137,-0.07463748,-0.3582098,-0.00842218,0.02676066,-0.073828236,-0.351701489,-0.029284304,0.012275526,0.00842218,0.02676066,,
138,-0.2072472,-0.31247845,-0.13260972,0.04573135,-0.081727516,-0.401716776,-0.00789928,-0.050015287,0.13260972,0.04573135,,
139,-0.24154526,-0.21718486,-0.03429806,0.09529359,-0.132165626,-0.352042954,-0.05043811,0.049673822,0.03429806,0.09529359,,
140,0.5657841,-0.6406447,0.80732936,-0.42345984,-0.004772228,-0.382697654,0.127393398,-0.0306547,0.80732936,0.42345984,,
141,0.5975489,-0.3477689,0.0317648,0.2928758,0.127980612,-0.375257342,0.13275284,0.007440312,0.0317648,0.2928758,,
142,0.3290646,-0.22065653,-0.2684843,0.12711237,0.208721028,-0.347746688,0.080740416,0.027510654,0.2684843,0.12711237,,
143,0.090066954,0.00961844,-0.238997646,0.23027497,0.268183859,-0.28332731,0.059462831,0.064419378,0.238997646,0.23027497,,
144,0.26721066,-0.27225667,0.177143706,-0.28187511,0.369935043,-0.294341672,0.101751184,-0.011014362,0.177143706,0.28187511,,
145,0.26179066,-0.387405,-0.00542,-0.11514833,0.309136355,-0.243693732,-0.060798688,0.05064794,0.00542,0.11514833,,
146,0.22567086,-0.62876266,-0.0361198,-0.24135766,0.234760747,-0.299892484,-0.074375608,-0.056198752,0.0361198,0.24135766,,
147,0.10084246,-0.452396,-0.1248284,0.17636666,0.189116319,-0.346240378,-0.045644428,-0.046347894,0.1248284,0.17636666,,
148,0.2838976,-0.18796109,0.18305514,0.26443491,0.227882448,-0.385756284,0.038766129,-0.039515906,0.18305514,0.26443491,,
149,-0.051246356,-0.28020748,-0.335143956,-0.09224639,0.164191045,-0.387346446,-0.063691403,-0.001590162,0.335143956,0.09224639,,
150,0.21141447,-0.3880172,0.262660826,-0.10780972,0.154115807,-0.387468886,-0.010075238,-0.00012244,0.262660826,0.10780972,,
151,0.103746794,-0.50537705,-0.107667676,-0.11735985,0.129730994,-0.362791764,-0.024384813,0.024677122,0.107667676,0.11735985,,
152,0.24144566,-0.4848558,0.137698866,0.02052125,0.157851634,-0.369283724,0.02812064,-0.00649196,0.137698866,0.02052125,,
153,0.23436064,-0.563455,-0.00708502,-0.0785992,0.147944242,-0.444382506,-0.009907392,-0.075098782,0.00708502,0.0785992,,
154,0.06271381,-0.33112994,-0.17164683,0.23232506,0.170736275,-0.454566998,0.022792033,-0.010184492,0.17164683,0.23232506,,
155,0.41300005,-0.37723625,0.35028624,-0.04610631,0.211053391,-0.452410808,0.040317116,0.00215619,0.35028624,0.04610631,,
156,-0.0972121,-0.06965084,-0.51021215,0.30758541,0.170861612,-0.365265566,-0.040191779,0.087145242,0.51021215,0.30758541,,
157,0.10431882,-0.31263477,0.20153092,-0.24298393,0.143436244,-0.33082136,-0.027425368,0.034444206,0.20153092,0.24298393,,
158,0.107516564,-0.29783192,0.003197744,0.01480285,0.118067429,-0.277696744,-0.025368815,0.053124616,0.003197744,0.01480285,,
159,0.32359484,-0.22126228,0.216078276,0.07656964,0.170243635,-0.255723212,0.052176206,0.021973532,0.216078276,0.07656964,,
160,-0.007169527,-0.25873926,-0.330764367,-0.03747698,0.08620972,-0.232023814,-0.084033915,0.023699398,0.330764367,0.03747698,,
161,0.24963933,-0.4242588,0.256808857,-0.16551954,0.155580006,-0.302945406,0.069370286,-0.070921592,0.256808857,0.16551954,,
162,0.19874744,-0.37495196,-0.05089189,0.04930684,0.17446573,-0.315408844,0.018885724,-0.012463438,0.05089189,0.04930684,,
163,0.39158145,-0.19557443,0.19283401,0.17937753,0.231278707,-0.294957346,0.056812977,0.020451498,0.19283401,0.17937753,,
164,0.12680322,-0.39308137,-0.26477823,-0.19750694,0.191920383,-0.329321164,-0.039358324,-0.034363818,0.26477823,0.19750694,,
165,0.24128436,-0.3940315,0.11448114,-0.00095013,0.24161116,-0.356379612,0.049690777,-0.027058448,0.11448114,0.00095013,,
166,0.10745058,-0.4590382,-0.13383378,-0.0650067,0.21317341,-0.363335492,-0.02843775,-0.00695588,0.13383378,0.0650067,,
167,-0.05003709,-0.44643718,-0.15748767,0.01260102,0.163416504,-0.377632536,-0.049756906,-0.014297044,0.15748767,0.01260102,,
168,-0.07635212,-0.45558444,-0.02631503,-0.00914726,0.06982979,-0.429634538,-0.093586714,-0.052002002,0.02631503,0.00914726,,
169,0.023648959,-0.40946752,0.100001079,0.04611692,0.049198938,-0.432911768,-0.020630852,-0.00327723,0.100001079,0.04611692,,
170,-0.05723061,-0.44721544,-0.080879569,-0.03774792,-0.010504056,-0.443548556,-0.059702994,-0.010636788,0.080879569,0.03774792,,
171,-0.03416086,-0.4607888,0.02306975,-0.01357336,-0.038826344,-0.443898676,-0.028322288,-0.00035012,0.02306975,0.01357336,,
172,-0.1139893,-0.4057097,-0.07982844,0.0550791,-0.051616786,-0.43575318,-0.012790442,0.008145496,0.07982844,0.0550791,,
173,-0.024013724,-0.3656344,0.089975576,0.0400753,-0.041149107,-0.417763172,0.010467679,0.017990008,0.089975576,0.0400753,,
174,-0.11818085,-0.44048563,-0.094167126,-0.07485123,-0.069515069,-0.423966794,-0.028365962,-0.006203622,0.094167126,0.07485123,,
175,-0.124452494,-0.42773485,-0.006271644,0.01275078,-0.082959446,-0.420070676,-0.013444377,0.003896118,0.006271644,0.01275078,,
176,-0.073516436,-0.42139432,0.050936058,0.00634053,-0.090830561,-0.41219178,-0.007871115,0.007878896,0.050936058,0.00634053,,
177,-0.10579888,-0.33688667,-0.032282444,0.08450765,-0.089192477,-0.398427174,0.001638084,0.013764606,0.032282444,0.08450765,,
178,0.43883947,-0.21684922,0.54463835,0.12003745,0.003378162,-0.368670138,0.092570639,0.029757036,0.54463835,0.12003745,,
179,0.35712636,-0.49685168,-0.08171311,-0.28000246,0.098439604,-0.379943348,0.095061442,-0.01127321,0.08171311,0.28000246,,
180,0.17109421,-0.5040978,-0.18603215,-0.00724612,0.157548945,-0.395215938,0.059109341,-0.01527259,0.18603215,0.00724612,,
181,0.2927521,-0.46790138,0.12165789,0.03619642,0.230802652,-0.40451735,0.073253707,-0.009301412,0.12165789,0.03619642,,
182,0.46118486,-0.32821512,0.16843276,0.13968626,0.3441994,-0.40278304,0.113396748,0.00173431,0.16843276,0.13968626,,
183,0.08175954,-0.44340214,-0.37942532,-0.11518702,0.272783414,-0.448093624,-0.071415986,-0.045310584,0.37942532,0.11518702,,
184,0.11179458,-0.44685742,0.03003504,-0.00345528,0.223717058,-0.438094772,-0.049066356,0.009998852,0.03003504,0.00345528,,
185,0.0403802,-0.33939362,-0.07141438,0.1074638,0.197574256,-0.405153936,-0.026142802,0.032940836,0.07141438,0.1074638,,
186,-0.028584365,-0.44501176,-0.068964565,-0.10561814,0.133306963,-0.400576012,-0.064267293,0.004577924,0.068964565,0.10561814,,
187,-0.073662095,-0.41023406,-0.04507773,0.0347777,0.026337572,-0.4169798,-0.106969391,-0.016403788,0.04507773,0.0347777,,
188,-0.08535015,-0.4487976,-0.011688055,-0.03856354,-0.007084366,-0.418058892,-0.033421938,-0.001079092,0.011688055,0.03856354,,
189,-0.16809769,-0.20703343,-0.08274754,0.24176417,-0.06306282,-0.370094094,-0.055978454,0.047964798,0.08274754,0.24176417,,
190,-0.07278995,-0.45697019,0.09530774,-0.24993676,-0.08569685,-0.393609408,-0.02263403,-0.023515314,0.09530774,0.24993676,,
191,-0.028369822,-0.4095072,0.044420128,0.04746299,-0.085653941,-0.386508496,4.2909E-05,0.007100912,0.044420128,0.04746299,,
